순위,ID,툴이름,도메인,종합점수,구글(50%),네이버(25%),SNS(15%),깃허브(10%)
1,1,"ChatGPT","chat.openai.com",79.48,63.8,100,89.24,91.92
2,185,"Whisper","openai.com",57.28,67.9,8.79,74.34,99.78
3,63,"Bing Image Creator","bing.com",53.56,72.5,9.25,100,0
4,48,"Canva AI","canva.com",51.12,69.7,8.97,93.52,0
5,147,"Adobe Express","adobe.com",50.76,73.2,9.32,78.89,0
6,2,"Claude","claude.ai",50.03,60.4,8.04,66.29,78.77
7,64,"Amazon Q Developer","aws.amazon.com",49.65,69.9,8.99,83.01,0
8,153,"Amazon Q Developer","aws.amazon.com",49.65,69.9,8.99,83.01,0
9,57,"Amazon Nova","aws.amazon.com",49.37,69.9,8.99,81.14,0
10,160,"Gemma","ai.google.dev",49.32,57.1,7.71,68.99,84.99
11,7,"Mistral AI","mistral.ai",48.64,56.6,7.66,63.92,88.35
12,249,"Zoom AI","zoom.us",48.08,68,8.8,79.17,0
13,12,"DALL-E 3","openai.com",47.21,67.9,8.79,73.72,0
14,49,"Figma AI","figma.com",47.11,64.7,8.47,84.27,0
15,154,"JetBrains AI","jetbrains.com",46.7,63.9,8.39,84.37,0
16,250,"Slack AI","slack.com",46.34,66.6,8.66,72.52,0
17,4,"DeepSeek","chat.deepseek.com",46.19,51.8,7.18,56.62,100
18,40,"Notion AI","notion.so",45.96,65,8.5,75.54,0
19,46,"Zapier AI","zapier.com",44.97,62.3,8.23,78.42,0
20,201,"Ollama","ollama.com",44.83,46.6,6.66,65.78,100
21,36,"Perplexity AI","perplexity.ai",44.75,59.7,7.97,86.02,0
22,6,"Llama","llama.meta.com",44.6,45.4,6.54,70.25,97.27
23,218,"Freepik AI","freepik.com",44.18,62.5,8.25,72.47,0
24,56,"Phi-4","azure.microsoft.com",44.13,61.8,8.18,74.6,0
25,3,"Gemini","gemini.google.com",43.97,62.3,8.23,71.73,0
26,85,"Grammarly","grammarly.com",43.86,58.7,7.87,83.62,0
