순위,ID,오픈소스,툴이름,도메인,종합점수,구글(50%),네이버(25%),SNS(15%),깃허브(10%)
1,1,Y,"ChatGPT","chat.openai.com",78.85,63.8,100,85.03,91.92
2,185,Y,"Whisper","openai.com",59.16,67.9,8.79,86.91,99.78
3,147,N,"Adobe Express","adobe.com",52.55,73.2,9.32,90.81,0
4,63,N,"Bing Image Creator","bing.com",52.21,72.5,9.25,90.98,0
5,48,N,"Canva AI","canva.com",52.09,69.7,8.97,100,0
6,160,Y,"Gemma","ai.google.dev",51.6,57.1,7.71,84.18,84.99
7,57,N,"Amazon Nova","aws.amazon.com",51.27,69.9,8.99,93.79,0
8,12,N,"DALL-E 3","openai.com",50.91,67.9,8.79,98.43,0
9,7,Y,"Mistral AI","mistral.ai",50.36,56.6,7.66,75.43,88.35
10,2,Y,"Claude","claude.ai",49.92,60.4,8.04,65.57,78.77
11,4,Y,"DeepSeek","chat.deepseek.com",49.89,51.8,7.18,81.3,100
12,249,N,"Zoom AI","zoom.us",49.33,68,8.8,87.53,0
13,64,N,"Amazon Q Developer","aws.amazon.com",49.03,69.9,8.99,78.86,0
14,153,N,"Amazon Q Developer","aws.amazon.com",49.03,69.9,8.99,78.86,0
15,250,N,"Slack AI","slack.com",49.01,66.6,8.66,90.29,0
16,40,N,"Notion AI","notion.so",47.97,65,8.5,88.94,0
17,49,N,"Figma AI","figma.com",47.95,64.7,8.47,89.9,0
18,218,N,"Freepik AI","freepik.com",46.07,62.5,8.25,85.08,0
19,3,N,"Gemini","gemini.google.com",45.48,62.3,8.23,81.82,0
20,157,Y,"Zed","zed.dev",45.29,45.8,6.58,72.52,98.64
21,6,Y,"Llama","llama.meta.com",45.22,45.4,6.54,74.4,97.27
22,46,N,"Zapier AI","zapier.com",45.14,62.3,8.23,79.56,0
23,36,N,"Perplexity AI","perplexity.ai",44.85,59.7,7.97,86.7,0
24,214,Y,"LangChain","langchain.com",44.79,47.6,6.76,62.02,100
25,154,N,"JetBrains AI","jetbrains.com",44.46,63.9,8.39,69.4,0
26,201,Y,"Ollama","ollama.com",43.89,46.6,6.66,59.53,100
27,56,Y,"Phi-4","azure.microsoft.com",43.6,61.8,8.18,71.04,0
28,199,Y,"Dify","dify.ai",43.58,43.1,6.31,69.66,100
29,11,Y,"Stable Diffusion","stability.ai",43.15,57.4,7.74,83.42,0
30,33,N,"ElevenLabs","elevenlabs.io",42.62,58.3,7.83,76.77,0
31,39,N,"Microsoft Copilot","copilot.microsoft.com",42.42,56.5,7.65,81.71,0
32,85,N,"Grammarly","grammarly.com",42.3,58.7,7.87,73.22,0
33,141,N,"QuillBot","quillbot.com",41.52,54,7.4,84.49,0
34,118,N,"PicsArt AI","picsart.com",41.14,55.6,7.56,76.34,0
35,52,Y,"Qwen","qwenlm.github.io",41.01,44.7,6.47,52.4,91.79
36,198,Y,"AutoGPT","agpt.co",40.96,44.3,6.43,48.04,100
37,224,N,"Stable Video","stability.ai",40.76,57.4,7.74,67.49,0
38,19,Y,"Cursor","cursor.sh",40.3,42.6,6.26,53.48,94.13
39,188,N,"ClickUp AI","clickup.com",40.3,57.3,7.73,64.79,0
40,213,N,"AutoGen","microsoft.github.io",40.24,53,7.3,79.45,0
41,242,N,"Adobe GenStudio","business.adobe.com",40.15,55.2,7.52,71.12,0
42,86,N,"Writesonic","writesonic.com",39.9,53.9,7.39,73.99,0
43,45,N,"Make","make.com",39.87,54.7,7.47,71.03,0
44,197,N,"Pixlr AI","pixlr.com",39.56,55.2,7.52,67.17,0
45,70,N,"InVideo AI","invideo.io",39.42,52.5,7.25,75.71,0
46,181,N,"InVideo AI","invideo.io",39.42,52.5,7.25,75.71,0
47,245,N,"Tidio Lyro","tidio.com",39.36,55.2,7.52,65.89,0
48,244,N,"Intercom Fin","intercom.com",39.22,55.1,7.51,65.29,0
49,84,N,"Copy.ai","copy.ai",39.19,51.5,7.15,77.7,0
50,97,N,"Remove.bg","remove.bg",39.17,52.1,7.21,75.43,0
51,42,N,"Otter.ai","otter.ai",39.01,53.4,7.34,69.85,0
52,138,N,"Duolingo Max","duolingo.com",38.97,55.4,7.54,62.58,0
53,175,N,"Veo 2","deepmind.google",38.96,55.3,7.53,62.82,0
54,168,N,"Imagen 3","deepmind.google",38.7,55.3,7.53,61.12,0
55,73,N,"Veed.io AI","veed.io",38.64,50.7,7.07,76.84,0
56,83,N,"Jasper","jasper.ai",38.63,50.7,7.07,76.76,0
57,207,N,"Cohere","cohere.com",38.49,50.4,7.04,76.85,0
58,10,N,"Midjourney","midjourney.com",38.45,53.8,7.38,64.72,0
59,47,N,"n8n","n8n.io",38.45,51.3,7.13,73.44,0
