순위,ID,툴이름,도메인,종합점수,변동,구글(50%),네이버(30%),GitHub(10%),SNS(10%)
1,185,"Whisper","openai.com",75.59,-0.82,67.9,79.25,99.78,78.88
2,1,"ChatGPT","chat.openai.com",71.75,17.94,63.8,74.46,91.92,83.23
3,2,"Claude","claude.ai",67.68,17.84,60.4,70.49,78.77,84.55
4,12,"DALL-E 3","openai.com",65.57,-1.89,67.9,79.25,0,78.45
5,7,"Mistral AI","mistral.ai",65.01,-1,56.6,66.06,88.35,80.58
6,160,"Gemma","ai.google.dev",64.79,0.6,57.1,66.64,84.99,77.53
7,46,"Zapier AI","zapier.com",61.76,0.45,62.3,72.71,0,87.96
8,4,"DeepSeek","chat.deepseek.com",61.26,-0.61,51.8,60.46,100,72.26
9,154,"JetBrains AI","jetbrains.com",61.21,-2.74,63.9,74.58,0,68.87
10,3,"Gemini","gemini.google.com",61.17,-0.78,62.3,72.71,0,82.09
11,218,"Freepik AI","freepik.com",59.91,-1.54,62.5,72.95,0,67.74
12,36,"Perplexity AI","perplexity.ai",57.6,-0.62,59.7,69.68,0,68.47
13,188,"ClickUp AI","clickup.com",56.64,0.42,57.3,66.88,0,79.3
14,85,"Grammarly","grammarly.com",56.49,-2.64,58.7,68.51,0,65.9
15,33,"ElevenLabs","elevenlabs.io",56.45,-2.61,58.3,68.04,0,68.9
16,39,"Microsoft Copilot","copilot.microsoft.com",56.06,-0.3,56.5,65.94,0,80.26
17,11,"Stable Diffusion","stability.ai",55.87,-0.76,57.4,66.99,0,70.76
18,214,"LangChain","langchain.com",55.82,-0.85,47.6,55.56,100,53.5
19,224,"Stable Video","stability.ai",55.39,-0.61,57.4,66.99,0,65.9
20,6,"Llama","llama.meta.com",55.32,-0.06,45.4,52.99,97.27,69.93
21,245,"Tidio Lyro","tidio.com",55.19,-0.46,55.2,64.43,0,82.57
22,138,"Duolingo Max","duolingo.com",55.06,0.78,55.4,64.66,0,79.66
23,168,"Imagen 3","deepmind.google",54.98,-1.08,55.3,64.54,0,79.65
24,175,"Veo 2","deepmind.google",54.53,-1.35,55.3,64.54,0,75.19
25,201,"Ollama","ollama.com",54.53,-1.38,46.6,54.39,100,49.17
26,157,"Zed","zed.dev",54.51,-0.35,45.8,53.45,98.64,57.15
27,198,"AutoGPT","agpt.co",54.05,0.82,44.3,51.7,100,63.86
28,118,"PicsArt AI","picsart.com",53.93,-2.48,55.6,64.89,0,66.61
29,45,"Make","make.com",53.81,-0.72,54.7,63.84,0,73.05
30,199,"Dify","dify.ai",53.65,0.37,43.1,50.3,100,70.12
31,197,"Pixlr AI","pixlr.com",53.58,-1.36,55.2,64.43,0,66.53
32,63,"Bing Image Creator","bing.com",53.51,32.25,36.25,84.62,0,100
33,187,"Coda AI","coda.io",53.3,-0.82,53.8,62.79,0,75.59
34,52,"Qwen","qwenlm.github.io",53.08,-1.28,44.7,52.17,91.79,58.99
35,10,"Midjourney","midjourney.com",52.73,-1.89,53.8,62.79,0,69.9
36,213,"AutoGen","microsoft.github.io",52.67,-0.08,53,61.86,0,76.08
37,244,"Intercom Fin","intercom.com",52.65,-2.92,55.1,64.31,0,58.07
38,26,"Runway ML","runwayml.com",52.48,-0.86,53.4,62.32,0,70.88
39,42,"Otter.ai","otter.ai",52.25,-0.59,53.4,62.32,0,68.58
40,70,"InVideo AI","invideo.io",52.14,-0.79,52.5,61.27,0,75.12
41,181,"InVideo AI","invideo.io",52.14,-0.79,52.5,61.27,0,75.12
42,19,"Cursor","cursor.sh",52.13,-1.07,42.6,49.72,94.13,64.98
43,141,"QuillBot","quillbot.com",52.12,-1.51,54,63.03,0,62.11
44,86,"Writesonic","writesonic.com",52.1,-0.9,53.9,62.91,0,62.75
45,166,"Semantic Scholar","semanticscholar.org",51.91,-1.06,54.3,63.38,0,57.47
46,23,"Replit AI","replit.com",51.81,-0.94,52.8,61.62,0,69.22
47,147,"Adobe Express","adobe.com",51.77,29.83,36.6,85.43,0,78.41
48,57,"Amazon Nova","aws.amazon.com",51.66,32.04,34.95,81.58,0,97.14
49,84,"Copy.ai","copy.ai",51.65,-1.16,51.5,60.11,0,78.7
50,47,"n8n","n8n.io",51.49,0.2,51.3,59.87,0,78.77
51,73,"Veed.io AI","veed.io",50.65,-0.16,50.7,59.17,0,75.45
52,148,"Fotor AI","fotor.com",50.65,-0.35,50.4,58.82,0,78.06
53,207,"Cohere","cohere.com",50.54,1.09,50.4,58.82,0,76.97
54,83,"Jasper","jasper.ai",50.45,0.83,50.7,59.17,0,73.52
55,31,"Synthesia","synthesia.io",50.42,-0.36,51.3,59.87,0,68.09
56,9,"Poe","poe.com",50.38,-0.32,50.3,58.71,0,76.21
57,122,"Deep Nostalgia","myheritage.com",50.19,-0.95,51.6,60.22,0,63.21
58,48,"Canva AI","canva.com",50.03,14.91,34.85,81.35,0,81.96
59,81,"Kagi","kagi.com",50.03,-1.53,52,60.69,0,58.26
60,146,"Microsoft Designer","designer.microsoft.com",49.88,-0.93,51.9,60.57,0,57.6
61,97,"Remove.bg","remove.bg",49.82,-2.63,52.1,60.81,0,55.25
62,37,"You.com","you.com",49.76,-0.89,50.9,59.41,0,64.84
63,179,"Veed.io","veed.io",49.71,0.09,50.7,59.17,0,66.11
64,133,"Speechify","speechify.com",49.65,-1.48,50,58.36,0,71.38
65,206,"OpenRouter","openrouter.ai",49.53,-0.88,50,58.36,0,70.24
66,32,"Suno AI","suno.com",49.45,0.18,50.1,58.47,0,68.57
67,53,"Command R+","cohere.com",49.44,0.22,50.4,58.82,0,65.95
68,35,"Descript","descript.com",49.32,0.54,49.8,58.12,0,69.86
69,8,"Character.AI","character.ai",49.31,-1.67,51.2,59.76,0,57.83
70,64,"Amazon Q Developer","aws.amazon.com",49.28,29.56,34.95,81.58,0,73.32
71,153,"Amazon Q Developer","aws.amazon.com",49.28,29.56,34.95,81.58,0,73.32
72,102,"Pi AI","pi.ai",49.22,-0.49,50.8,59.29,0,60.32
73,88,"Taskade","taskade.com",49.05,-0.68,49.7,58.01,0,67.95
74,65,"Lovable","lovable.dev",49.02,-0.74,48.9,57.07,0,74.51
75,152,"Lovable","lovable.dev",49.02,-0.74,48.9,57.07,0,74.51
76,94,"Looka","looka.com",48.94,-0.35,48.7,56.84,0,75.35
77,109,"Lensa AI","prisma-ai.com",48.94,0,48.9,57.07,0,73.68
78,171,"Clipdrop","clipdrop.co",48.89,0.44,49.5,57.77,0,68.12
79,250,"Slack AI","slack.com",48.88,16.03,33.3,77.73,0,89.08
80,93,"Framer AI","framer.com",48.78,-0.76,50.3,58.71,0,60.19
81,169,"Recraft AI","recraft.ai",48.61,1.24,48.5,56.61,0,73.74
82,178,"Opus Clip","opus.pro",48.56,-1.13,48.9,57.07,0,69.86
83,116,"Starryai","starryai.com",48.04,0.55,48.1,56.14,0,71.5
84,249,"Zoom AI","zoom.us",48.01,13.87,34,79.37,0,71.96
85,49,"Figma AI","figma.com",47.92,15.61,32.35,75.51,0,90.94
86,182,"Murf AI","murf.ai",47.88,0.02,48.6,56.72,0,65.64
87,130,"Play.ht","play.ht",47.87,-1.42,48.2,56.26,0,68.96
88,136,"Superhuman","superhuman.com",47.87,0.68,48.3,56.37,0,68.06
89,41,"Gamma","gamma.app",47.84,-0.89,49,57.19,0,61.87
90,145,"Google Lens","lens.google",47.7,-1.03,48.5,56.61,0,64.67
91,225,"Deepgram","deepgram.com",47.69,-0.46,47.4,55.32,0,73.96
92,72,"Pictory","pictory.ai",47.61,-1.56,48.1,56.14,0,67.18
93,15,"Ideogram","ideogram.ai",47.6,0.13,47.5,55.44,0,72.14
94,113,"Prisma","prisma-ai.com",47.6,-0.63,48.9,57.07,0,60.27
95,110,"Photoroom","photoroom.com",47.58,-1.92,48.6,56.72,0,62.66
96,239,"Pinecone","pinecone.io",47.49,-1.07,49.1,57.31,0,57.43
97,204,"Groq","groq.com",47.4,-1.81,48.1,56.14,0,65.11
98,40,"Notion AI","notion.so",47.32,14.94,32.5,75.86,0,83.09
99,69,"CapCut AI","capcut.com",47.31,-2.23,48.4,56.49,0,61.63
100,217,"Artbreeder","artbreeder.com",47.22,0.93,47.5,55.44,0,68.36
101,30,"Luma AI","lumalabs.ai",47.19,-1.17,47.3,55.21,0,69.74
102,92,"Wordtune","wordtune.com",47.03,-1.52,47.2,55.09,0,69.01
103,143,"Socratic","socratic.org",46.83,-0.98,47.5,55.44,0,64.47
104,91,"Rytr","rytr.me",46.7,0.22,47.4,55.32,0,64.07
105,13,"Adobe Firefly","firefly.adobe.com",46.68,0.78,46.9,54.74,0,68.08
