ID	Service Name	Analysis Domain	Rank	Score
1	ChatGPT	chat.openai.com	1	100
4	DeepSeek	chat.deepseek.com	2	99
3	Gemini	gemini.google.com	3	97
2	Claude	claude.ai	4	96
19	Cursor	cursor.com	5	95
36	Perplexity	perplexity.ai	6	94
20	Bolt.new	bolt.new	7	92
39	MS Copilot	copilot.microsoft.com	8	90
32	Suno AI	suno.com	9	89
5	Grok	grok.x.ai	10	88
204	Groq	groq.com	11	87
65	Lovable	lovable.dev	12	86
8	Character.AI	character.ai	13	85
33	ElevenLabs	elevenlabs.io	14	84
10	Midjourney	midjourney.com	15	83
22	v0	v0.dev	16	82
48	Canva AI	canva.com	17	81
159	WRTN	wrtn.ai	18	80
27	Kling AI	klingai.com	19	79
211	Blackbox AI	blackbox.ai	20	78
41	Gamma	gamma.app	21	77
34	Udio	udio.com	22	76
15	Ideogram	ideogram.ai	23	75
141	QuillBot	quillbot.com	24	74
30	Luma AI	lumalabs.ai	25	73
85	Grammarly	grammarly.com	26	72
9	Poe	poe.com	27	71
26	Runway ML	runwayml.com	28	70
14	Leonardo AI	leonardo.ai	29	69
29	HeyGen	heygen.com	30	68
62	Civitai	civitai.com	31	67
17	Krea AI	krea.ai	32	66
40	Notion AI	notion.so	33	65
28	Pika Labs	pika.art	34	64
178	Opus Clip	opus.pro	35	63
83	Jasper	jasper.ai	36	62
201	Ollama	ollama.com	37	61
238	Devv.ai	devv.ai	38	60
79	Phind	phind.com	39	59
93	Framer AI	framer.com	40	58
80	Consensus	consensus.app	41	57
216	NotebookLM	notebooklm.google.com	42	56
192	Napkin AI	napkin.ai	43	55
123	Captions	captions.ai	44	54
206	OpenRouter	openrouter.ai	45	53
16	Flux	blackforestlabs.ai	46	52
97	Remove.bg	remove.bg	47	51
232	Coze	coze.com	48	50
45	Make	make.com	49	49
46	Zapier AI	zapier.com	50	48
51	Le Chat	chat.mistral.ai	51	47
52	Qwen	qwenlm.github.io	52	47
53	Command R+	cohere.com	53	46
54	HyperCLOVA X	clova.ai	54	46
55	Kimi	kimi.moonshot.cn	55	45
56	Phi-4	azure.microsoft.com	56	45
57	Amazon Nova	aws.amazon.com	57	44
58	Playground AI	playground.com	58	44
59	SeaArt AI	seaart.ai	59	43
60	NightCafe	nightcafe.studio	60	43
61	Tensor.Art	tensor.art	61	42
13	Adobe Firefly	firefly.adobe.com	62	42
63	Bing Image Creator	bing.com	63	41
64	Amazon Q	aws.amazon.com	64	41
66	Cody	sourcegraph.com	65	40
67	Devin	cognition.ai	66	40
68	Aider	aider.chat	67	39
69	CapCut AI	capcut.com	68	39
70	InVideo AI	invideo.io	69	38
71	Hailuo AI	hailuoai.video	70	38
72	Pictory	pictory.ai	71	37
73	Veed.io AI	veed.io	72	37
74	AIVA	aiva.ai	73	36
75	Soundraw	soundraw.io	74	36
76	Mubert	mubert.com	75	35
77	Adobe Podcast	podcast.adobe.com	76	35
78	Lalal.ai	lalal.ai	77	34
81	Kagi	kagi.com	78	34
82	Exa	exa.ai	79	33
84	Copy.ai	copy.ai	80	33
86	Writesonic	writesonic.com	81	32
87	Tome	tome.app	82	32
88	Taskade	taskade.com	83	31
89	Mem AI	mem.ai	84	31
90	Reclaim.ai	reclaim.ai	85	30
91	Rytr	rytr.me	86	30
92	Wordtune	wordtune.com	87	29
94	Looka	looka.com	88	29
95	Khroma	khroma.co	89	28
96	Relume	relume.io	90	28
98	Cleanup.pictures	cleanup.pictures	91	27
99	Spline AI	spline.design	92	27
100	Visily	visily.ai	93	26
101	Replika	replika.com	94	26
102	Pi AI	pi.ai	95	25
103	Meta AI	meta.ai	96	25
104	Talkie AI	talkie-ai.com	97	24
105	Kindroid	kindroid.ai	98	24
106	Chai AI	chai.ml	99	23
107	Anima AI	myanima.ai	100	23
108	Hume AI	hume.ai	101	22
109	Lensa AI	prisma-ai.com	102	22
110	Photoroom	photoroom.com	103	21
111	Remini	remini.ai	104	21
112	Facetune	facetuneapp.com	105	20
113	Prisma	prisma-ai.com	106	20
114	Pixelcut	pixelcut.ai	107	19
115	Wombo Dream	wombo.ai	108	19
116	Starryai	starryai.com	109	18
117	Meitu	meitu.com	110	18
118	PicsArt AI	picsart.com	111	17
