순위,툴 이름,도메인,실제주소
1,ChatGPT,chat.openai.com,https://chatgpt.com
2,Canva AI,canva.com,https://www.canva.com/ai-tools/
3,Claude,claude.ai,https://claude.ai
4,Notion AI,notion.so,https://www.notion.so/product/ai
5,JetBrains AI,jetbrains.com,https://jetbrains.com
6,Zapier AI,zapier.com,https://zapier.com/ai
7,Mistral AI,mistral.ai,https://mistral.ai
8,Figma AI,figma.com,https://www.figma.com/ai/
9,Freepik AI,freepik.com,https://freepik.com
10,Gemini,gemini.google.com,https://gemini.google.com
11,Perplexity AI,perplexity.ai,https://www.perplexity.ai
12,DeepSeek,chat.deepseek.com,https://www.deepseek.com
13,Grammarly,grammarly.com,https://www.grammarly.com
14,ElevenLabs,elevenlabs.io,https://elevenlabs.io
15,GitHub Copilot,github.com/features/copilot,https://github.com/features/copilot
16,Stable Video,stability.ai,https://www.stablevideo.com
17,Stable Diffusion,stability.ai,https://stability.ai
18,ClickUp AI,clickup.com,https://clickup.com/ai
19,Pixlr AI,pixlr.com,https://pixlr.com
20,Ollama,ollama.com,https://ollama.com
21,Duolingo Max,duolingo.com,https://www.duolingo.com/max
22,Imagen 3,deepmind.google,https://deepmind.google
23,Microsoft Copilot,copilot.microsoft.com,https://copilot.microsoft.com
24,PicsArt AI,picsart.com,https://picsart.com
25,LangChain,langchain.com,https://www.langchain.com
26,Tidio Lyro,tidio.com,https://www.tidio.com/lyro/
27,Coda AI,coda.io,https://coda.io/product/ai
28,Llama,llama.meta.com,https://llama.meta.com
29,Midjourney,midjourney.com,https://www.midjourney.com
30,QuillBot,quillbot.com,https://quillbot.com
31,Veo 2,deepmind.google,https://deepmind.google
32,Make,make.com,https://www.make.com
33,Intercom Fin,intercom.com,https://www.intercom.com/ai
34,Otter.ai,otter.ai,https://otter.ai
35,Semantic Scholar,semanticscholar.org,https://www.semanticscholar.org
36,Cline,github.com/cline/cline,https://github.com/cline/cline
37,Writesonic,writesonic.com,https://writesonic.com
38,Remove.bg,remove.bg,https://www.remove.bg
39,InVideo AI,invideo.io,https://invideo.io
40,InVideo AI,invideo.io,https://invideo.io
41,Zed,zed.dev,https://zed.dev
42,Kagi,kagi.com,https://kagi.com
43,Replit AI,replit.com,https://replit.com
44,ComfyUI,github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI
45,Runway ML,runwayml.com,https://runwayml.com
46,Qwen,qwenlm.github.io,https://qwenlm.github.io
47,AutoGen,microsoft.github.io,https://microsoft.github.io/autogen/
48,n8n,n8n.io,https://n8n.io
49,You.com,you.com,https://you.com
50,Synthesia,synthesia.io,https://www.synthesia.io
51,Copy.ai,copy.ai,https://www.copy.ai
52,Bing Image Creator,bing.com,https://www.bing.com/create
53,Pi AI,pi.ai,https://pi.ai
54,Jasper,jasper.ai,https://www.jasper.ai
55,AutoGPT,agpt.co,https://agpt.co
56,Cursor,cursor.sh,https://www.cursor.com
57,Speechify,speechify.com,https://speechify.com
58,Whisper,openai.com/ko-KR/index/whisper/,https://openai.com/ko-KR/index/whisper/
59,Taskade,taskade.com,https://www.taskade.com
60,OpenRouter,openrouter.ai,https://openrouter.ai
61,Descript,descript.com,https://www.descript.com
62,Adobe Express,adobe.com,https://www.adobe.com/express/feature/ai
63,Cohere,cohere.com,https://cohere.com
64,Poe,poe.com,https://poe.com
65,Microsoft Designer,designer.microsoft.com,https://designer.microsoft.com
66,Fotor AI,fotor.com,https://www.fotor.com
67,Veed.io,veed.io,https://www.veed.io
68,Gamma,gamma.app,https://gamma.app
69,Prisma,prisma-ai.com,https://prisma-ai.com/
70,Pinecone,pinecone.io,https://www.pinecone.io
71,Dify,dify.ai,https://dify.ai
72,Deep Nostalgia,myheritage.com,https://www.myheritage.com/deep-nostalgia
73,Superhuman,superhuman.com,https://superhuman.com
74,Character.AI,character.ai,https://character.ai
75,Veed.io AI,veed.io,https://veed.io
76,Command R+,cohere.com,https://cohere.com
77,Lensa AI,prisma-ai.com,https://prisma-ai.com/lensa
78,Google Lens,lens.google,https://lens.google
79,Clipdrop,clipdrop.co,https://clipdrop.co
80,Suno AI,suno.com,https://suno.com
81,Framer AI,framer.com,https://www.framer.com/ai
82,Starryai,starryai.com,https://starryai.com
83,Pictory,pictory.ai,https://pictory.ai
84,Consensus,consensus.app,https://consensus.app
85,Consensus,consensus.app,https://consensus.app
86,Ideogram,ideogram.ai,https://ideogram.ai
87,Recraft AI,recraft.ai,https://www.recraft.ai
88,Photoroom,photoroom.com,https://www.photoroom.com
89,Gemma,ai.google.dev,https://ai.google.dev/gemma
90,Captions,captions.ai,https://www.captions.ai
91,Artbreeder,artbreeder.com,https://www.artbreeder.com
92,Wordtune,wordtune.com,https://www.wordtune.com
93,Adobe Firefly,firefly.adobe.com,https://firefly.adobe.com
94,Lovable,lovable.dev,https://lovable.dev
95,Lovable,lovable.dev,https://lovable.dev
96,Opus Clip,opus.pro,https://www.opus.pro
97,Leonardo AI,leonardo.ai,https://leonardo.ai
98,Looka,looka.com,https://looka.com
99,Socratic,socratic.org,https://socratic.org
100,Deepgram,deepgram.com,https://deepgram.com
101,NotebookLM,notebooklm.google.com,https://notebooklm.google.com
102,CapCut AI,capcut.com,https://capcut.com
103,Photomath,photomath.com,https://photomath.com
104,Meta AI,meta.ai,https://meta.ai
105,D-ID,d-id.com,https://www.d-id.com
106,Groq,groq.com,https://groq.com
107,Murf AI,murf.ai,https://murf.ai
108,Krisp,krisp.ai,https://krisp.ai
109,Notta,notta.ai,https://www.notta.ai
110,Pika Labs,pika.art,https://pika.art
111,Woebot,woebothealth.com,https://woebothealth.com
112,Cody,sourcegraph.com,https://sourcegraph.com
113,Facetune,facetuneapp.com,https://facetuneapp.com
114,Luma AI,lumalabs.ai,https://lumalabs.ai
115,Rytr,rytr.me,https://rytr.me
116,Play.ht,play.ht,https://play.ht
117,Amazon Q Developer,aws.amazon.com,https://aws.amazon.com/q/developer
118,Amazon Q Developer,aws.amazon.com,https://aws.amazon.com/q/developer
119,Filmora AI,filmora.wondershare.com,https://filmora.wondershare.com
120,Motion,usemotion.com,https://usemotion.com
121,HeyGen,heygen.com,https://www.heygen.com
122,Elsa Speak,elsaspeak.com,https://elsaspeak.com
123,Botpress,botpress.com,https://botpress.com
124,Civitai,civitai.com,https://civitai.com
125,SciSpace,typeset.io,https://typeset.io
126,Sora,sora.com,https://sora.com
127,Beautiful.ai,beautiful.ai,https://www.beautiful.ai
128,Jan.ai,jan.ai,https://jan.ai
129,Krea AI,krea.ai,https://www.krea.ai
130,AssemblyAI,assemblyai.com,https://www.assemblyai.com
131,Podcastle,podcastle.ai,https://podcastle.ai
